tract,GEOID,longitude,latitude,geometry,nearest_store_index,nearest_store_name,distance_to_nearest_store
030400,36047030400,-73.99800410013312,40.59069443048299,POINT (-73.99800410013312 40.59069443048299),6692,BJS WHOLESALE CLUB INC,254.2350804094766
030600,36047030600,-73.98613353299852,40.591155597201336,POINT (-73.98613353299852 40.59115559720133),4795,S&W DELI CORP,207.1265458750419
030700,36047030700,-73.9262195611415,40.6755830413423,POINT (-73.9262195611415 40.67558304134229),11153,BERGEN MINIMARKET CORP,141.24794488692694
030100,36047030100,-73.91622797761067,40.677621583417626,POINT (-73.91622797761067 40.67762158341762),5982,SHARAF H YAHYA,43.968517883974016
030800,36047030800,-73.97951077160394,40.58655146180797,POINT (-73.97951077160394 40.586551461807964),17761,MILK FARM GROCERY OF JUSTIN INC,394.2984808162687
031100,36047031100,-73.93895511078075,40.67647777387729,POINT (-73.93895511078075 40.67647777387728),22021,NAJIUM FOOD CORP,32.618848858063885
031500,36047031500,-73.94992428627896,40.67691318627421,POINT (-73.94992428627896 40.67691318627422),1540,612 SUPERMARKET CORP,71.35987758758633
031701,36047031701,-73.9501240962365,40.67386691524196,POINT (-73.9501240962365 40.67386691524195),23687,SALEH FAISUL T,74.05533730780816
030200,36047030200,-73.99064701311592,40.59571207729278,POINT (-73.99064701311592 40.59571207729278),10317,LOS 3 HERMANOS CORP,65.29209750538142
031900,36047031900,-73.94939777088791,40.66688521397503,POINT (-73.94939777088791 40.66688521397503),20741,MERMAID FISH MARKET CORP,105.2010389081467
032300,36047032300,-73.95507443121168,40.66654741601342,POINT (-73.95507443121168 40.66654741601342),21810,MARTINEZ JUAN C,113.46051794655635
032700,36047032700,-73.95879609070477,40.66264646573903,POINT (-73.95879609070477 40.66264646573903),12183,MB BROOKLYN GROCERY INC,118.85766570565553
032800,36047032800,-73.99768457577441,40.57636723269975,POINT (-73.99768457577441 40.57636723269975),4672,RITE AID OF NEW YORK INC,106.22047219886257
033000,36047033000,-73.99845842973475,40.57971396540072,POINT (-73.99845842973475 40.57971396540073),6174,FLAMMING GRILL CORP,267.3478774255145
033100,36047033100,-73.94200733837815,40.66415814149542,POINT (-73.94200733837815 40.66415814149542),4745,SHABBOS NUNAY YAMOH CORP,68.1143470829305
033500,36047033500,-73.94238847025092,40.667594096049285,POINT (-73.94238847025092 40.66759409604928),4215,R&R FRUIT & PRODUCE LLC,25.914686384276592
033600,36047033600,-74.00921330020252,40.575952897336926,POINT (-74.00921330020252 40.57595289733692),17421,DOLEH 919 FOOD CORP,655.3764902159436
034500,36047034500,-73.93369261146158,40.67322784372177,POINT (-73.93369261146158 40.67322784372177),6224,SUPER STARLIN DELI CORP,9.644109508602718
015202,36029015202,-78.72800099468816,42.66064917857203,POINT (-78.72800099468816 42.66064917857202),15042,REID STORES INC,1582.7671553799066
033900,36047033900,-73.94201506272901,40.67121185411916,POINT (-73.94201506272901 40.67121185411915),21467,HARRY COFFEE GROCERY SHOP CORP,35.70971849848172
034100,36047034100,-73.94458676636948,40.67356618674012,POINT (-73.94458676636948 40.67356618674011),17359,WALGREEN EASTERN CO INC,297.5353040918487
034200,36047034200,-73.99686268469742,40.57410771609714,POINT (-73.99686268469742 40.57410771609714),15962,WASHINGTON CHERRY INC,116.95371563985682
034300,36047034300,-73.93883759596595,40.67350305502138,POINT (-73.93883759596595 40.67350305502138),12704,DELI 200 ALBANY CORP,29.370232763200683
040400,36083040400,-73.68342873516913,42.7467440934742,POINT (-73.68342873516913 42.74674409347419),17691,BELLA NAPOLI ITLN BAKERY TROY INC,4.280846654338473
