name,longitude,latitude,geometry,nearest_tract_index,nearest_tract,distance_to_nearest_tract
AGEWELL LLC,-76.108790262,42.797979509,POINT (-76.108790262 42.797979509),1084,016901,2626.770679808911
EXPRESS DELI GROCERY INC II,-73.947336485,40.633909405,POINT (-73.947336485 40.633909405000004),2430,078601,61.308112020332935
I CHEF CORP,-73.377582024,40.685496416,POINT (-73.377582024 40.685496416),1722,124101,767.0212622183947
HEBA MARKET CORPORATION,-77.635919125,43.146767641,POINT (-77.635919125 43.14676764099999),2818,006300,566.3845008883204
KY FISH INC,-74.171420631,41.340566162,POINT (-74.171420631 41.340566161999995),1663,015008,463.1329100364486
NORTH COUNTRY CREAMERY LLC,-73.45194253,44.513979968,POINT (-73.45194253 44.513979968),1116,102800,4640.933799089481
ADVANCED DOMINO INC,-73.954933339,40.610053921,POINT (-73.954933339 40.61005392100001),5074,055200,223.77349199697156
ZOE SAN,-75.132186979,42.170020273,POINT (-75.132186979 42.170020273),3556,970602,3240.2056510310067
260 BURNSIDE DELI INC,-73.902448459,40.851391922,POINT (-73.902448459 40.85139192199998),2557,023502,86.78598045811839
SAINSBURY C STORE INC,-73.999475862,41.230248623,POINT (-73.999475862 41.230248622999994),4380,010102,862.7611947006775
SPRINGS FINEST DELI CORP,-74.009296016,40.725898194,POINT (-74.009296016 40.725898194),3467,003700,216.14126113618565
ALISAN GAS CORP,-73.006480801,40.766100553,POINT (-73.006480801 40.766100553),327,159109,934.0040514445147
KEVIN ADRIAN SMART MARKET CORP,-73.947785168,40.687411805,POINT (-73.947785168 40.687411804999996),4510,025100,144.07391122569584
FARNAN KENNETH F & EILEEN M,-77.084938491,42.550268831,POINT (-77.08493849100002 42.550268831),3755,150502,2974.066462458955
CHESTNUT MARTS INC,-73.907152467,41.589357309,POINT (-73.90715246700002 41.589357309),1096,300000,1367.6647347678197
SHEBA GROCERY & DELI INC,-73.676756161,42.775297366,POINT (-73.676756161 42.775297366000004),4454,040200,451.67789119234203
ME-ME SUPERMARKET INC,-73.930645098,40.765469536,POINT (-73.930645098 40.765469536),2121,007700,167.62531693028674
VAN WYCK EXPRESS MART INC,-73.806400818,40.68291789,POINT (-73.806400818 40.68291789),5332,019400,414.94432016816785
SPEEDWAY LLC,-78.96185616,43.021344907,POINT (-78.96185616 43.02134490699999),1586,007305,2621.0479797493067
ALPHA EUROPEAN GROCERY INC,-77.703946316,43.210608155,POINT (-77.703946316 43.21060815499999),457,013505,729.6342141251386
AK TWO CORP,-73.971484664,40.616468215,POINT (-73.971484664 40.61646821499999),4707,044400,198.80787524784452
T&H MARKET FRESH FRUITS AND VEGETABLES C,-74.096245521,40.589042334,POINT (-74.096245521 40.58904233399999),3454,009602,213.88002884791683
MULBERRY MARKET INC,-73.995913972,40.723152282,POINT (-73.995913972 40.723152281999994),2630,004300,42.33369612409647
DECICCO ENTERPRISE LLC,-73.628332817,41.418992738,POINT (-73.628332817 41.41899273799999),1406,011802,1564.3142459597886
SEA BREEZE PHARMACY & MEDICAL SUPPLY INC,-73.955831292,40.577868419,POINT (-73.955831292 40.577868419000005),1393,061004,222.7358456027378
FAMILY DOLLAR STORES OF NEW YORK LLC,-78.005010531,42.976990767,POINT (-78.005010531 42.976990767),928,951200,1884.72097496866
SINAPPLE ENTERPRISE INC,-73.88761576,40.759204901,POINT (-73.88761576000002 40.75920490099999),2758,032700,204.23422837786833
CUMBERLAND FARMS INC,-73.583777721,43.31015784,POINT (-73.583777721 43.310157839999995),1407,080200,448.7966188269502
CHALOUH INTERNATIONAL FOOD INC,-73.970651419,40.60450309,POINT (-73.970651419 40.60450309),4777,042200,268.6593268191197
GLATT KOSHER WHOLESALERS LLC,-74.024863222,41.105265939,POINT (-74.02486322200001 41.10526593899999),3622,011305,104.69165482084784
CONGRESS SUPERMARKET INC,-73.951945106,42.796683457,POINT (-73.951945106 42.79668345699999),2245,021400,431.31846376567825
AZ GROCERY AND MEAT INC,-73.825255071,40.690302598,POINT (-73.825255071 40.690302598),2783,012000,316.5043192444039
WORLD GROCERY INC,-73.893476135,40.865008366,POINT (-73.893476135 40.865008366000005),5219,039901,166.79712803203847
NEW DAY COFFEE ROASTERS LLC,-78.878248603,43.082932491,POINT (-78.878248603 43.082932490999994),176,022713,774.9365475834104
NOR CROSS SERVICE STATION INC,-73.803314098,40.782258781,POINT (-73.803314098 40.782258780999996),1464,102900,385.8468194468155
EJ MEAT MARKET CORP,-73.748087079,40.598040936,POINT (-73.748087079 40.598040936),4079,101004,300.0880268017317
RESERVE SNACKS INC,-73.869780243,41.588736419,POINT (-73.869780243 41.58873641900001),1002,190204,941.2327259526497
5 BOROUGH MARKET II CORP,-74.025531092,40.622833139,POINT (-74.025531092 40.622833139),3314,013800,164.0797770762523
BOSTON ROAD CANDY INC,-73.888265022,40.837269002,POINT (-73.888265022 40.837269002),554,015500,241.87346412509365
WALGREEN EASTERN CO INC,-75.932017684,43.97599695,POINT (-75.93201768400002 43.97599695),3950,061500,273.4515194686943
FU LONG SEAFOOD WHOLESALE INC,-73.994307077,40.712836171,POINT (-73.994307077 40.71283617100001),3664,000800,340.0117070365747
GENOVESE DRUG STORES INC,-73.917606461,40.878473474,POINT (-73.917606461 40.878473473999996),3147,029302,172.10043095485108
DANDY MINI MART INC,-76.631456156,42.451236435,POINT (-76.631456156 42.451236435),959,001700,1697.8798384264896
GB LICENSE LLC,-74.005462636,40.721257427,POINT (-74.005462636 40.721257427),2646,004700,254.64969815682326
DOMINGA A YAT DE LEON,-73.990204052,40.643168013,POINT (-73.990204052 40.643168013000015),3299,011000,267.8605056976412
FISH ISLAND LLC,-73.759470848,40.933063597,POINT (-73.759470848 40.933063597),1225,006500,1825.1705111346457
GRAB & GO GOURMET DELI INC,-73.941306208,40.838510027,POINT (-73.941306208 40.838510027000005),3416,024500,219.50776345314853
LIBERTY SUPERMARKET & HALAL MEAT INC,-73.869610594,40.67843508,POINT (-73.869610594 40.67843507999999),5156,119000,184.30377315455752
DOLGEN NEW YORK LLC,-76.723972753,42.614534559,POINT (-76.723972753 42.614534559000006),574,951000,3800.521570163364
K FAMOUS DELI INC,-73.932281665,40.772703914,POINT (-73.932281665 40.772703914000004),2123,008700,266.82462595994787
SECOND STREET ENTERPRISE INC,-73.668779188,40.797587564,POINT (-73.668779188 40.79758756399999),1503,301700,947.004166280995
FRESH & TASTY SUSHI INC,-73.17636484,40.733344886,POINT (-73.17636484 40.733344886),328,147505,958.042039683231
STEWARTS SHOPS CORP,-74.986571108,44.678603445,POINT (-74.986571108 44.67860344500001),239,491200,2188.7939612277573
