County,median_income,white_pop,black_pop,asian_pop,hispanic_pop,tract,total_pop,white_percent,black_percent,asian_percent,hispanic_percent,county_tract,tract_y,nearest_store,distance_to_nearest_store,nearest_store_name
ALBANY,39535.0,2566.0,277.0,475.0,539.0,13300,3857.0,66.52838994036816,7.181747472128597,12.31527093596059,13.974591651542651,ALBANY_13300,13300,15652,212.8038974543557,SHREE SANDERI INC
ALBANY,65250.0,2456.0,263.0,120.0,190.0,13400,3029.0,81.08286563222185,8.682733575437439,3.961703532518983,6.272697259821723,ALBANY_13400,13400,10598,75.95766066060591,WATERVLIET MINI MART INC
ALBANY,86250.0,3879.0,284.0,866.0,190.0,13503,5219.0,74.32458325349684,5.4416554895573865,16.59321709139682,3.640544165548956,ALBANY_13503,13503,4123,697.0765311209071,CVS ALBANY LLC
ALBANY,84558.0,2591.0,10.0,255.0,7.0,13505,2863.0,90.4994760740482,0.3492839678658749,8.906741180579811,0.2444987775061124,ALBANY_13505,13505,11784,940.8574426312548,ALBARAKA RETAIL HALAL MARKET INC
ALBANY,88417.0,1620.0,125.0,278.0,187.0,13507,2210.0,73.30316742081448,5.656108597285068,12.57918552036199,8.461538461538462,ALBANY_13507,13507,6432,910.1129187915924,LAGUNA MINI MART INC
ALBANY,92734.0,2693.0,157.0,459.0,0.0,13509,3309.0,81.38410395889997,4.744635841644001,13.871260199456028,0.0,ALBANY_13509,13509,5512,908.5904324752124,SHAMOUNIAN BERJOUHI
ALBANY,93568.0,2555.0,58.0,468.0,277.0,13510,3358.0,76.08695652173914,1.7272185824895772,13.936867182846932,8.24895771292436,ALBANY_13510,13510,11784,651.6952800462556,ALBARAKA RETAIL HALAL MARKET INC
ALBANY,128726.0,2134.0,176.0,946.0,245.0,13511,3501.0,60.95401313910311,5.027135104255927,27.020851185375605,6.9980005712653535,ALBANY_13511,13511,10731,612.8836385252237,COLLAR CITY SWEET SHOPPE LLC
ALBANY,106125.0,3249.0,22.0,220.0,26.0,13512,3517.0,92.37986920671028,0.6255331248222917,6.255331248222918,0.7392664202445266,ALBANY_13512,13512,15234,683.5902613784195,EH&JB ENTERPRISES LLC
ALBANY,73281.0,2404.0,1204.0,605.0,141.0,13602,4354.0,55.21359669269638,27.652733118971064,13.895268718419842,3.238401469912724,ALBANY_13602,13602,24056,843.7317134170668,MENANDS GAS & CONVENIENCE INC
ALBANY,84103.0,2287.0,156.0,657.0,66.0,13603,3166.0,72.23626026531902,4.9273531269741,20.75173720783323,2.084649399873657,ALBANY_13603,13603,2783,1829.1006561800957,SHREEJA INC
ALBANY,93684.0,5510.0,527.0,627.0,484.0,13604,7148.0,77.08449916060437,7.372691662003357,8.771684387241187,6.771124790151091,ALBANY_13604,13604,16504,1483.7793658428247,STEWARTS SHOPS CORP
ALBANY,97167.0,1736.0,436.0,35.0,149.0,13703,2356.0,73.68421052631578,18.505942275042443,1.4855687606112054,6.32427843803056,ALBANY_13703,13703,18513,1670.3149675154532,GEORGES MARKET & NURSERY LLC
